Distance,Frequency
211,2
374,1
82,1
249,1
134,1
110,1
617,1
148,2
98,2
87,2
52,1
15,1
79,1
171,1
2,4
1,1
30,1
725,1
219,1
64,1
283,1
53,1
69,1
100,3
181,1
196,1
779,1
139,1
1015,1
343,1
81,1
160,2
97,1
75,1
24,1
185,1
255,1
21,3
347,1
457,1
105,1
35,1
83,1
50,1
28,1
794,1
237,1
378,1
155,2
94,1
32,2
254,1
20,2
44,1
96,1
133,1
92,1
270,1
987,1
62,1
48,2
3,2
84,1
332,1
206,1
291,1
37,2
257,1
18,1
9,2
203,1
4,1
1660,1
215,1
68,1
38,1
207,1
216,1
386,1
165,1
5,2
175,1
168,1
33,1
8,2
22,1
56,1
14,1
273,1
